Repository URL	branch	libraries folder	Notes	source
https://github.com/rkistner/arcore	master	hardware/avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/RobotCing/Cing	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ROBOTIS-GIT/OpenCM9.04	develop	arduino/opencm_arduino/opencm9.04/libraries 		
https://github.com/ROBOTIS-GIT/OpenCR	develop	arduino/opencr_arduino/libraries 		
https://github.com/rogerclarkmelbourne/Arduino_STM32	master	STM32F1/libraries		
https://github.com/rogerclarkmelbourne/Arduino_STM32	master	STM32F4/libraries		
https://github.com/sandeepmistry/arduino-nRF5	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/sblyolcubal/arduino-iot2000	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/Seeed-Studio/Seeed_SAMD_Boards	master	libraries		
https://github.com/Seeed-Studio/stm32f4ArduinoCore	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/soburi/JN516x-arduino-package	master	libraries		
https://github.com/SodaqMoja/SodaqCore-avr	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/SodaqMoja/SodaqCore-samd	v1.6.15-sodaq	libraries	The use of a separate branch for each release is likely to break this on every release	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/sonydevworld/spresense-arduino-compatible	master	Arduino15/packages/SPRESENSE/hardware/spresense/1.0.0/libraries 	idiotic repository structure that will probably break the library path on every release	
https://github.com/sparkfun/Arduino_Boards	master	sparkfun/avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/sparkfun/Arduino_Boards	master	sparkfun/esp8266/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/sparkfun/Arduino_Boards	master	sparkfun/samd/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/SpenceKonde/ATTinyCore	master	avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/stm32duino/Arduino_Core_STM32	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/stm32duino/Arduino_Core_STM8	master	libraries		
https://github.com/synman/CANBus-Triple_Genesis-Connect	master	avr/libraries		
https://github.com/Team254/Arduinex	master	libraries		
https://github.com/tenbaht/sduino	master	sduino/hardware/sduino/stm8/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ThamesValleyReprapUserGroup/Beta-TVRRUG-Mendel90	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/thomasonw/ATmegaxxM1-C1	master	avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/TKJElectronics/Balanduino	master	Firmware/hardware/Balanduino/avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/udif/ITEADSW_Iteaduino-Lite-HSP	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/UDOOboard/arduino-board-package	boardmanager	udoo/sam/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/UDOOboard/arduino-board-package	boardmanager	udoo/solox/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/watterott/Arduino-Boards	master	watterott/avr/libraries 		
https://github.com/watterott/Arduino-Boards	master	watterott/samd/libraries 		
https://github.com/wemos/OU	master	avr/libraries		
https://github.com/XMegaForArduino/libraries	master	/	This gets bundled with https://github.com/XMegaForArduino/arduino to form the hardware package	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/zevero/avr_boot	gh-pages		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/zoubata/ArduinoCore-samd	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
